ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
XIY,DYG,9H ,T,250,Y,CNY       
HGH,WUH,MF ,U,320,Y,CTP       
LUM,CAN,CZ ,J,4140,C,CNY       
XIY,JIC,9H ,K,790,Y,CNY       
BPE,PVG,FM ,D,1880,C,CNY       
LHW,KWE,DZ ,F,2760,F,CNY       
NGB,KWE,9H ,T,550,Y,CTP       
LZO,NKG,3U ,V,630,Y,CNY       
XIY,DYG,3U ,J,980,C,CNY       
BAV,XIY,GJ ,Q,880,Y,CNY       
XIY,JIC,MU ,M,830,Y,CNY       
YNT,NGB,MU ,W,1080,Y,CNY       
DYG,XIY,JD ,N,340,Y,CNY       
NGB,CGO,CZ ,U,640,Y,CTP       
NGB,KWE,9H ,A,700,Y,CTP       
PVG,YBP,FM ,N,1040,Y,CNY       
DSN,PVG,FM ,V,500,Y,CNY       
NGB,CGO,HU ,E,670,Y,CTP       
NGB,CGO,HU ,P,650,Y,CTP       
CKG,NGB,GJ ,Z,750,Y,CNY       
NGB,CKG,CZ ,N,600,Y,CTP       
KWE,NGB,EU ,L,1010,Y,CNY       
XMN,TNA,SC ,L,1180,Y,CNY       
LHW,DLC,CZ ,B,1770,Y,CNY       
PVG,LYI,MU ,Y,930,Y,CNY       
KHN,YNZ,MU ,V,350,Y,CNY       
HYN,XIY,ZH ,Y,1540,Y,CNY       
LZH,PVG,MU ,N,960,Y,CNY       
DLC,LHW,CZ ,W,1880,Y,CNY       
DYG,XIY,9H ,A,310,Y,CNY       
KWE,TAO,CZ ,A,1330,Y,CNY       
DSN,HFE,KN ,Z,240,/,CNY       
XMN,CZX,MU ,U,4200,C,CNY       
PVG,YBP,FM ,B,1630,Y,CNY       
KHN,YNZ,MU ,M,830,Y,CNY       
TNA,YIW,MU ,Y,1000,Y,CNY       
HFE,INC,QW ,U,640,Y,CNY       
XMN,TNA,GT ,H,1200,Y,CNY       
NNG,XIY,ZH ,S,810,Y,CNY       
FUG,PVG,FM ,F,1770,F,CNY       
XIY,JIC,9H ,B,960,Y,CNY       
KWL,CGO,EU ,I,380,Y,CNY       
DYG,XIY,MU ,E,530,Y,CNY       
DLC,LHW,MF ,T,850,Y,CNY       
HDG,PVG,MU ,S,500,Y,CNY       
XIY,BAV,GJ ,J,1380,Y,CTP       
PVG,LYI,MU ,E,860,Y,CNY       
YNZ,KHN,MU ,K,650,Y,CNY       
HFE,HRB,LT ,Q,1290,/,CNY       
CGO,LZO,8L ,A,440,Y,CNY       
HFE,HRB,QW ,U,910,Y,CNY       
LYI,PVG,MU ,F,2050,F,CNY       
TYN,DLC,BK ,E,730,Y,CNY       
JIC,XIY,9H ,H,870,Y,CNY       
JNZ,PVG,MU ,M,1220,Y,CNY       
DLC,NGB,8L ,K,1030,Y,CNY       
XIY,BAV,GJ ,P,950,Y,CNY       
NNG,XIY,GX ,H,2000,Y,CNY       
LZH,PVG,ZH ,S,660,Y,CNY       
XIY,KWL,SC ,G,660,Y,CNY       
PVG,DYG,FM ,S,550,Y,CNY       
YNJ,YNT,MU ,I,1620,C,CNY       
HRB,HFE,JR ,S,770,Y,CNY       
NGB,CKG,9C ,V,1620,Y,CTP       
TNA,CKG,SC ,H,1510,Y,CNY       
PVG,YCU,MU ,V,520,Y,CNY       
HYN,XIY,MU ,L,980,Y,CNY       
KWE,LHW,CZ ,Y,1380,Y,CNY       
XIY,BAV,MU ,C,2080,C,CNY       
TAO,CSX,CZ ,W,1480,Y,CNY       
XIY,DYG,JD ,D,1640,C,CNY       
DSN,HFE,NS ,N,790,Y,CNY       
LZO,WUH,MF ,F,3570,F,CNY       
DLC,TYN,BK ,N,930,Y,CNY       
HFE,HRB,LT ,Z,4040,/,CNY       
KWL,LHW,CA ,W,920,Y,CNY       
PVG,LYI,MU ,L,700,Y,CNY       
DLC,TYN,MU ,I,1380,C,CNY       
